Channel,Subs
緯來體育台,440K
Iku老師/Ikulaoshi,440K
陳老師來了,439K
Annin Miru Channel,439K
一起上學吧,438K
超強系列SuperAwesome,438K
楊世光在金錢爆,437K
Moxi Movie Channel Official 模晰…,437K
HD TV Channel,436K
斑愛馬媽 BEMMa,435K
歐拉Ola,434K
陳寗 NingSelect,434K
阿慈車庫-Dream garage,432K
超級歪 SuperY,432K
RJ,431K
This unscientific,431K
Bobo TV,428K
超派人生Superpie,428K
Erika Ramos,428K
希露弟弟啃雞腿,427K
赖岳谦TV,427K
初日醫學 - 宋晏仁醫師 x C…,427K
7 Kids@Taiwan+ 好子多多+,425K
阿杰GAME實況,424K
MR.JOE HOBBY.tv,424K
FJ234,422K
High咖-邱志恒,420K
YIN,419K
超級AI漫畫解說,419K
阿兜仔不教美語,413K
Lobo 蘿蔔,413K
恩恩老師EanTV,412K
996創業家造雨俠,412K
青萍書院,411K
百大SG 頻道,411K
MTV 我愛偶像 Idols of Asia,411K
雙胞胎軒軒釩釩,410K
10週年巧克白,409K
美食台foodvideo,409K
CPBL 中華職棒,408K
太一與工程車,408K
綜口味娛樂,408K
海森堡HEISENBERG,408K
Soya手癢計劃,407K
老王愛說笑,406K
新台灣加油,406K
霓虹动漫社,405K
一禪小和尚,405K
Chinese Drama Head Quarter,403K
中天娛樂頻道,402K
星光奈奈,402K
muumuu,402K
PowerDirector Video Editor - Cyber…,401K
TomoNews 台灣,400K
緯來綜合台,399K
TLC 旅遊生活頻道,399K
身體智慧-脊椎健康教育的…,399K
YOYOROCK 滾石移動,399K
雲端世界,398K
全明星運動會,398K
大床禾,398K
華視綜藝頻道,396K
DeluCat迪鹿,396K
黃瑽寧醫師健康講堂,395K
彼得爸與蘇珊媽,394K
東森超視,394K
Qi 黃帝,394K
阿淇博士 Dr. Achi,394K
Z Hobby,391K
123 GO! CHALLENGE Chinese,391K
瑩真律師,390K
厭世甜點店,390K
驚爆新聞線,390K
老孫聊遊戲,389K
華視戲劇頻道,388K
English with Lai Lai,388K
William Lin,388K
爱逗小师妹,387K
阿津,386K
创意与美食,385K
小許,384K
台南Josh,384K
阿神的副頻道,384K
中国影视优视频,384K
Ru儒哥 GAME,384K
蕭敬騰 Jam Hsiao,382K
有口福,382K
日本的拉斐爾中字官方頻�…,382K
LNG 實況存檔,381K
SHIN LI,381K
居妮Ginny Daily,381K
堆金積玉,381K
古典音樂 - Guzheng Music,381K
HackBear 泰瑞,380K
女孩要幹嘛,380K
UNDER LOVER,378K
簡單哥,378K
The News Lens 關鍵評論網,377K
壹電視NEXT TV,376K
ENZOYEH - OWL La La,376K
NyoNyo日常實況,376K
鬼man&阿道夫,376K
MSI Global,375K
OOC,375K
EMMA LIFE,375K
爆哥Neal,374K
DJ MoonBaby,374K
TomoNews Poland,373K
Zheer loves to eat,372K
林進,372K
News Direct,371K
神话动漫社Animation,371K
重案組-台灣大代誌,371K
阿紅RedKai_遊戲頻道,368K
Erin's Diary 艾琳的日常,365K
鬧著玩娛樂,365K
營養師品瑄,364K
KosmoFit,364K
TXO Liang,364K
搗蛋晴晴&澄澄在這裡 ◕�…,363K
中国辽宁卫视官方频道 Chi…,363K
Like You,361K
芭樂媽的家 Qistin Wong TV,361K
康康嘴機車,361K
Gladys Fit Life,361K
小宅實驗,361K
陳彥婷Tiffany,359K
營養師Ricky's Time,359K
乖宝奇趣秀 ShuShu ToysReview,357K
Ashlee xiu,357K
KEYME,357K
明聰,355K
战神剧场ChineseDrama,353K
我就是NG,353K
徐海莉 Hailey,353K
吳鳳Rifat,352K
葉子老師健康講座,351K
王志郁Plus,351K
蔡哥,350K
禪師不打坐,350K
老外爸爸 Lao Wai Ba Ba,350K
【動手DIY】莎莎手作 ShaSha…,349K
杰運汽車AUTOSTAR,349K
蕾咪 Rami,348K
SHINN,348K
慢慢慢老斯,348K
@BlueSky,348K
Cook for K1,347K
貝莉莓-Beryl,346K
柳哥,346K
甜宠偶像剧,346K
Mobil Ruc,346K
音乐人生Music Life,346K
政經關不了,346K
魯蛋的頻道,345K
最強聯盟,345K
Sara Shang,345K
阿部瑪利亞 Maria Abe,344K
Asia Beatbox,344K
Queen沐雨柔 Eve,344K
木子手工,344K
韋禮安 WeiBird,344K
千巡影世,343K
御姐強尼Ms. Johnny2.0,343K
普通女子 孫女,343K
Honeyliciousss天菜小姐,342K
鼻妹Bimay,342K
Smart Gadgets Hunt,342K
卡车颜姐,342K
至尊星 Supremestar,342K
佬K奇談,341K
新聞面對面,341K
黃聖凱,340K
剧会火Fire,340K
貓總白一航,340K
國家地理雜誌 National Geogra…,339K
有璟嘿喲요찡,338K
Bike IN 機車資訊網,338K
A Jie,337K
何必日語,337K
动漫游乐园,336K
超級夜總會 Super Night Club,336K
孫沁岳,334K
超級紅人榜,333K
張家夫妻滑起來,333K
江佩諭,333K
Astor,332K
Christina靠右邊走,332K
海恩奶油,331K
偏宠短剧社,331K
嵩馥性健康,331K
MONROE夢露,331K
94要客訴,330K
Frank 法蘭克 - 看電影學英�…,329K
公視新聞網,328K
CYFIT兆佑,328K
井上一宏,328K
宥勝去哪兒,328K
Toyz 實況精華,327K
飽妮,325K
肥大叔Fat Uncle,325K
KAZBOM,325K
璐洛洛 Ruroro【人造人Vtuber…,325K
泱泱LYNN,325K
lifeintaiwan,325K
孫生又來了,325K
Anas Creation FF,324K
Kevin 英文不難,323K
爱剧Lovin Drama,323K
龍龍LungLung,323K
黃氏兄弟開箱頻道,322K
Olive Myanmar Vlog,322K
床編故事 Bad Time Stories,322K
曾之喬 chiaochiaotzeng,322K
GOOD TV 好消息電視台,320K
WAXXXX法國專業熱蠟除毛,320K
我们的小喜 XiaoXi's Culinary …,320K
夢想街57號,319K
JasonChenAsia,319K
培仁蔬食MAMA,319K
吳若權幸福書房,319K
Hang TV - 越南夯台灣,318K
有趣的电视,318K
靠杯星球 Fun Planet,318K
曲博科技教室 Dr. J Class,316K
小廢物語謙,316K
九酱爱追剧,315K
乐厨怡妈,315K
政經最前線,315K
Marco體驗師,315K
熊貓團團,314K
Sherry's Notes 雪力的心理學�…,314K
安安邊緣子,313K
古典音乐 - Musica China,313K
民視直播 FTVN Live 53,313K
Lice萊斯,312K
歡樂APM,312K
SKRpresents 陶山音樂,312K
HimmTV 韓國讚養,312K
章新漫談,311K
懶熊,310K
含老闆,310K
梅伯,309K
originaltruevideo,309K
MR. ANDY愛迪先生/,309K
陪沈團,309K
华农兄弟,309K
羅卡Rocca,309K
Titi tilah channel,309K
英雄說書,306K
鈴木的日常,306K
面白大丈夫,304K
Focus全球新聞 Focus Global News,304K
OMIO BEN,304K
Jason 杰生,304K
好想講英文 | 空中英語教�…,303K
范琪斐的美國時間,303K
進藤喜彥 Yoziness,303K
球球Mika,303K
Julia 吳卓源,302K
friDay影音-潮流日韓劇、綜…,302K
TongSyue各種同學,302K
下水道先生,302K
筱君 台灣 PLUS,302K
路RuSiRu,301K
Jean Huang,301K
DarkLiberatorZone,300K
Alizabeth 娘娘,300K
凹凹葳,300K
絕代雙Q,299K
關我什麼事,299K
理科 Plus,299K
100室內設計,299K
香蕉,298K
黃小愛LittleLove,298K
動力火車 Power Station官方�…,298K
Peppa Pig 分享頻道,298K
yuuu,297K
愛貝克思 avex taiwan,297K
DCU homentertainment,297K
rice & shine,297K
P.LEAGUE,297K
SiCAR愛車酷,297K
Cute Babies & Pet,297K
广西阿妹小苏,297K
技安 CHI AN,297K
鵝鵝就是鵝鵝,297K
I don't Drink latte.,297K
設計家,296K
kuroko哲平,296K
寶可夢 官方,296K
Celine and Cynthia - 不只是旅�…,296K
王宏哲教養育兒寶典,295K
大雲時堂,295K
簡單歌唱 Singple.,295K
環球影片 官方頻道,294K
遊戲皮卡嚕 PikaLu,294K
锦堂生活空间,294K
型男大主廚 Stylish Man - The …,294K
coco熊貓在東京喲,293K
公視P#新聞實驗室,293K
Beast Music TW,292K
現在宅知道,292K
8891汽車,291K
邦尼幫你 3C 科技 - 開箱評…,291K
高澤宇,291K
海賊王DIY日記,291K
852郵報,291K
雀可美特,291K
赤鬼伯伯,290K
亞洲旅遊台 - 官方頻道,290K
XiaoLin 小霖,290K
分享家-羽,290K
贵州卫视官方频道 GuiZhouTV…,289K
couple eating daily,289K
賀瓏Hello,289K
文老爹,289K
什麼意思,289K
SV科學歌唱,289K
Eric Chen,288K
Sandykaka,287K
舞秋風遊戲頻道,287K
VBS學唱歌 - 聲音平衡歌唱�…,287K
撒糖LIVE,287K
林宣Xuan Lin,287K
KouKou Brothers 酷酷兄弟,286K
Campfire營火部落,286K
囂搞 Shaogao,286K
萬事通事務所,286K
K7凱琪,286K
阿心Liao,286K
初心熟男,285K
吐嚎影院,285K
同學來了,285K
中廣新聞網,285K
貓咪&狗狗搞笑 Cat&dog Funny …,285K
衛生福利部疾病管制署,284K
出口日語,284K
HARTA PANCING,284K
民眾之聲,284K
許凱皓,283K
平民百姓,283K
57健康同學會,283K
豐華唱片ForwardMusic,283K
Yale Chen,283K
豐富,283K
Dadong Xiaofeng is eating,283K
尤汐伯夷,282K
A-Lin官方專屬頻道,282K
Joe Liang,282K
鴨鴨YAYA,281K
Yes娛樂,281K
桿子 Drumstick,281K
鄧福如 AFÜ,281K
战狼影院 Wolf Theater,281K
AC草影水族,281K
醫師好辣,281K
外國人介紹台灣 - Lukas in T…,280K
孫榮Kai Son,280K
Party By Night,280K
naomi morinaga,280K
懶錢包 Lazy Wallet,280K
蕭小M,279K
媛媛,279K
歐耶老師,278K
I'm Jonas,278K
東森財經新聞 股市篇,278K
APPLEFANS蘋果迷,278K
有特色的帥哥,278K
D Rebound 99,278K
這裡是男同俱樂部,278K
野電視94強,278K
