Channel,Subs
Raquel Freestyle,2.88M
IncrivelMente Curiosa,2.88M
Pablo Marçal,2.87M
Larissa Liveir,2.87M
LUKINHAS FREESTYLE,2.86M
Eleotan,2.86M
IDEIAS INCRÍVEIS Brincadeiras,2.86M
Foco do Brasil,2.85M
Afonso Padilha,2.85M
Eeeats,2.85M
Palavras de Fé,2.84M
Mulheres,2.84M
WendellCarvalho,2.84M
Victor Horta na Varanda,2.84M
Gabriel Bartz,2.84M
Carolinne Silver,2.84M
Blog das irmãs,2.84M
HERO Toniket,2.84M
OMAD,2.83M
Gigaton Games,2.83M
Core,2.83M
Você Bonita,2.82M
Apelapato999,2.82M
Liz Moura,2.82M
Eu sou Barone #Shorts,2.82M
Karen Bachini,2.82M
Luarices,2.81M
Danielle Noce,2.81M
Multi,2.81M
Canal da Lu - Magalu,2.81M
Ana Lídia Lopes,2.81M
AlfaCon,2.8M
Mauro Nakada,2.8M
RENATO GARCIA OFICIAL,2.8M
Kemilly Santos Oficial,2.8M
Aviões e Músicas,2.8M
Nanndo,2.8M
Henrique Lima,2.8M
Renata Celi,2.79M
k a m a i t a c h i,2.79M
Deixa Falar,2.79M
Weder Silva,2.79M
Fezinho Patatyy,2.79M
Bruno Garcia,2.78M
YouTube Brasil,2.77M
Bia Historinhas,2.77M
Milla Cabral,2.77M
Parafuso Solto,2.77M
Zabetta Macarini,2.77M
Canal Brega Exclusivo,2.77M
weegame7,2.77M
Tainá Costa,2.76M
RAFALEGEND,2.76M
Vídeos de Clássicos!,2.76M
Royale News,2.76M
Fernando e Sorocaba,2.76M
POD DELAS,2.75M
ALEC GO! #shorts,2.75M
Lusquinha,2.75M
Priscila Simões,2.75M
Palavra Cantada Oficial,2.75M
Tj Gamer,2.75M
GatinCrazy,2.75M
South America Memes,2.75M
Eduarda Ferrão,2.75M
STEVE AND MAGGIE BRASIL,2.74M
POCAH,2.74M
Mimi Julinha,2.74M
UM44K,2.73M
Tonigon,2.73M
Sidão do Game,2.73M
Canal da Sossô,2.73M
Programa Silvio Santos,2.73M
REI DAS SERPENTES HAROLDO BAUER,2.73M
Pipa Combate,2.73M
Raul e Breno TV,2.73M
Talokudo,2.72M
APELA NUMB,2.72M
Mikaelly Campos,2.72M
BUXEXA,2.71M
Turma da Valzinha,2.71M
TV A Crítica,2.71M
Canal Incógnita,2.71M
Lukas Batista,2.71M
Carol Capel,2.71M
QUIZJEY,2.71M
Cortes do Flow [OFICIAL],2.71M
Geleia TV,2.7M
Sobrevivencialismo,2.7M
Mauricio Moura,2.7M
LHAMA ROXA,2.7M
LubaTV Games,2.7M
Isaias Saad,2.7M
Davi,2.7M
Mineluck,2.69M
Guilherme Tank,2.69M
Funk de BH,2.69M
Turma da Bagunça,2.69M
Yose Juega R,2.69M
